id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr
974,SHREECEM,Mar 2018,14.075053391640393,25.15000508491813,15.55580532763853,0.3824884792626728,21.2,0.649385814291375,-1716.0,3595.0,397.0,25.42,13.0,3403,1879.0
975,SHREECEM,Mar 2019,8.084428514536041,22.277976901632815,10.495295212490953,0.2898355909419915,11.556451612903226,0.810365971729168,1360.0,720.0,289.0,27.6314,21.0,2803,2080.0
976,SHREECEM,Mar 2020,11.998756605533105,29.305253341622628,11.72450451818665,0.2388943731490622,13.862542955326461,0.6452065784195748,-1617.0,5590.0,426.0,36.5806,26.0,3146,3973.0
977,SHREECEM,Mar 2021,17.234513274336283,30.169616519174042,15.17828148340586,0.14483340910566994,17.99601593625498,0.6303165527820388,1603.0,2651.0,646.0,42.7694,9.0,2230,4254.0
978,SHREECEM,Mar 2022,8.454363757495004,24.716855429713526,7.268041237113403,0.12193585337915235,16.174904942965778,0.6320266116468062,525.0,2143.0,352.0,48.5,14.0,2129,2668.0
979,SHREECEM,Mar 2023,13.270221823885278,16.580775263275825,12.711955355226442,0.14622236531444516,13.0,0.6779068884332042,164.0,2405.0,664.0,51.7667,28.0,2725,2569.0
980,SHREECEM,Mar 2024,8.445007553238145,22.01647093221578,8.370767521615225,0.07998840747717723,19.825581395348838,0.7348612354521038,1929.0,1418.0,480.0,57.5083,16.0,1656,3347.0
981,SHRIRAMFIN,Mar 2013,20.873163076045085,31.088600370951635,19.937312619242302,4.549741073862088,0.7069857697283312,0.1482633159876465,-8400.0,41.0,12.0,3.2326,11.0,33386,-8359.0
982,SHRIRAMFIN,Mar 2014,16.021708352996697,23.58423784804153,15.957696827262044,4.539365452408931,0.47318686510748875,0.16196590995948942,-4167.0,112.0,11.0,3.7489,12.0,38630,-4055.0
983,SHRIRAMFIN,Mar 2015,11.201917838073443,18.426501035196686,11.094323332613858,5.039391323116771,0.3597535061623459,0.14764938700646782,-9656.0,45.0,8.0,4.0819,22.0,46695,-9611.0
984,SHRIRAMFIN,Mar 2016,11.429674679023073,17.607877208224732,11.635220125786164,4.892885220125786,0.3590801886792453,0.15230911737461955,-5543.0,36.0,9.0,4.4828,19.0,49790,-5507.0
985,SHRIRAMFIN,Mar 2017,11.611483078051913,18.08676511052004,11.17190257677374,4.684080480056477,0.37804177045410997,0.1464551486983854,-2679.0,2.0,10.0,4.9921,7.0,53080,-2677.0
986,SHRIRAMFIN,Mar 2018,18.878684639312695,28.181010220708043,18.619430241051862,5.999342585829072,0.6135122484006865,0.1386811832374692,-13056.0,86.0,20.0,6.0308,10.0,82131,-13142.0
987,SHRIRAMFIN,Mar 2019,16.580844490216272,24.465756951596294,16.13731754682704,5.507360771784752,0.5051560021152829,0.14737381306975023,-5611.0,76.0,20.0,7.0322,11.0,87914,-5535.0
988,SHRIRAMFIN,Mar 2020,15.168166173540246,21.526477869693856,13.84632344835189,5.221860875316944,0.4305304944063515,0.14493375107205994,-2519.0,55.0,20.0,7.9921,5.0,94735,-2464.0
989,SHRIRAMFIN,Mar 2021,14.343932958328551,19.527034783606933,11.50711424229866,4.906110420407975,0.37583892617449666,0.13410822877376646,-4264.0,25.0,18.0,8.5838,18.0,106546,-4239.0
990,SHRIRAMFIN,Mar 2022,14.131394443001819,19.03921059465074,10.427284920482851,4.401073002490898,0.3769569221324056,0.13534315517192905,-8893.0,34.0,20.0,9.6292,20.0,114846,-8859.0
991,SHRIRAMFIN,Mar 2023,19.742883379247015,28.856749311294767,13.835263835263836,3.7737175951461666,0.6787556787556788,0.14480488951574988,-12549.0,5076.0,32.0,11.6342,22.0,164202,-17625.0
992,SHRIRAMFIN,Mar 2024,20.333626470264925,28.918874354182698,15.116350338120824,3.994034363699512,0.6766743648960739,0.14656859980827017,-31359.0,258.0,39.0,13.0178,23.0,195496,-31101.0
993,SIEMENS,Sep 2011,7.26056043496445,9.795064826432455,22.746331236897273,0.0,56.53846153846154,1.1769049025398701,267.0,264.0,,5.6118,24.0,0,3.0
994,SIEMENS,Sep 2014,5.6471249297621275,1.1144409065368046,13.782857142857145,0.0,35.61290322580645,1.037706511175899,738.0,130.0,17.0,6.162,35.0,0,608.0
995,SIEMENS,Sep 2015,11.114266780270757,9.448073463978037,22.94313074066836,0.004885675200312683,64.7,0.9987708018154312,1220.0,646.0,33.0,7.207,30.0,25,574.0
996,SIEMENS,Sep 2016,26.889360524130296,9.421426594075852,42.83404380420402,0.003674849331177422,379.72727272727275,0.9041381611880527,750.0,237.0,82.0,9.5817,41.0,25,513.0
997,SIEMENS,Sep 2017,10.275643922277451,9.543605964753727,14.785435630689205,0.0,234.25,0.8422134267011722,1894.0,1321.0,32.0,10.831,22.0,0,573.0
998,SIEMENS,Sep 2018,7.041813208284486,10.371238765142634,10.85672972647307,0.0,200.875,0.8925083705357143,-74.0,174.0,25.0,11.6887,28.0,0,100.0
999,SIEMENS,Sep 2019,8.399571996331396,11.38795475389789,12.144988396507902,0.0,157.33333333333334,0.8519338455528064,138.0,1135.0,31.0,12.7451,23.0,0,1273.0
1000,SIEMENS,Sep 2020,7.7317514578725115,10.08445606273879,8.1015592077539,0.0,43.93333333333333,0.6271122320302648,1591.0,871.0,22.0,13.369,32.0,0,720.0
1001,SIEMENS,Sep 2021,8.25125018942264,11.001666919230187,10.52478979414323,0.0003865854837150865,73.875,0.7326117124618373,-967.0,2389.0,31.0,14.5732,26.0,4,1422.0
1002,SIEMENS,Sep 2022,9.561283926137069,11.525591770975337,13.290267011197244,0.015676141257536608,65.19444444444444,0.8025262320354071,944.0,34.0,43.0,16.3521,23.0,182,978.0
